FileName;No of Rows;Actor/Film/Loc;Template-1;Template-2;
Actor-9-10.csv;2;1;who performed for a character created by <e1>, and is also on tenure in a company founded by <e2>;name the actor of a character that was created by <e1>, who also served for company founded by <e2>;
Actor-7-10.csv;5;1;who performed in a film which has a character named <e1>, and is also on tenure in a company founded by <e2>;name the actor who acted in a film in which there was a character named <e1>, and has also served for company founded by <e2>;
Actor-10-3.csv;71;1;who is on tenure in a company founded by <e1>, and has also performed in a film which is edited by <e2>;name the actor who has served for company founded by <e1> and has also performed in a film edited by <e2>;
Actor-9-3.csv;100;1;who performed for a character created by <e1>, and has performed in a film which is edited by <e2>;name the actor of a character that was created by <e1>, who has also performed in a film edited by <e2>;
Actor-11-9.csv;102;1;who has been to an educational institute which is at a location <e1>, and has performed for a character created by <e2>;name the actor who has studied at an educational institute located at <e1>, and has also performed a character which is created by <e2>;
Actor-9-7.csv;178;1;who performed for a character created by <e1>, and has also performed in a film for the character <e2>;name the actor of a character that was created by <e1>, who also played the character <e2>;
Actor-1-10.csv;244;1;who has performed in a film which is directed by <e1>, and is also on tenure in a company founded by <e2>;name the actor who has performed in a film directed by <e1>, who also served for company founded by <e2>;
Actor-10-6.csv;261;1;who is on tenure in a company founded by <e1>, and has also performed in a film which is written by <e2>;name the actor who has served for company founded by <e1> and has also performed in a film written by <e2>;
Actor-4-10.csv;272;1;who has performed in a film which has location <e1> featured, and who is also on tenure in a company founded by <e2>;name the actor who has performed in a film with location <e1> featured in and who also served for company founded by <e2>;
Actor-11-10.csv;343;1;who has been to an educational institute which is at a location <e1>, and who is also on tenure in a company founded by <e2>;name the actor who has studied at an educational institute located at <e1>, and who also served for company founded by <e2>;
Actor-5-10.csv;383;1;who has performed in a film which is produced by <e1>, and is also on tenure in a company founded by <e2>;name the actor who has performed in a film produced by <e1>, who also served for company founded by <e2>;
Actor-9-6.csv;457;1;who performed for a character created by <e1>, and has also performed in a film which is written by <e2>;name the actor of a character that was created by <e1> and has also performed in a film written by <e2>;
Actor-9-1.csv;463;1;who performed for a character created by <e1> and has also performed in a film which is directed by <e2>;name the actor of a character that was created by <e1> and who has also performed in a film directed by <e2>;
Actor-10-2.csv;482;1;who is on tenure in a company founded by <e1>, and has also performed in a film which is distributed by <e2>;name the actor who has served for company founded by <e1> and has also performed in a film where <e2> is a distributor;
Actor-4-9.csv;490;1;who has performed in a film which has location <e1> featured, and who also performed for a character created by <e2>;name the actor who has performed in a film with location <e1> featured in and who also played a character that was created by <e2>;
Actor-5-9.csv;718;1;who has performed in a film which is produced by <e1>, and who also performed for a character created by <e2>;name the actor who has performed in a film produced by <e1>, who also played a character that was created by <e2>;
Actor-11-7.csv;1023;1;who has been to an educational institute which is at a location <e1>, and has also performed in a film which has a character named <e2>;name the actor who has studied at an educational institute located at <e1>, and who has also acted in a film in which character <e2> exists;
Actor-9-2.csv;1149;1;who performed for a character created by <e1> and has also performed in a film which is distributed by <e2>;name the actor of a character that was created by <e1> and has also performed in a film where <e2> is a distributor;
Actor-10-8.csv;1410;1;who is on tenure in a company founded by <e1>, and has also performed in a film which is of a genre <e2>;name the actor who has served for company founded by <e1> and has also performed in a film with genre <e2>;
Actor-11-3.csv;3163;1;who has been to an educational institute which is at a location <e1>, and has also performed in a film which is edited by <e2>;name the actor who has studied at an educational institute located at <e1>, and has also performed in a film written by <e2>;
Actor-9-8.csv;3889;1;who performed for a character created by <e1> and has also performed in a film which is of a genre <e2>;name the actor of a character that was created by <e1> and has also performed in a film with genre <e2>;
Actor-11-6.csv;14056;1;who has been to an educational institute which is at a location <e1>, and has also performed in a film which is written by <e2>;name the actor who has studied at an educational institute located at <e1>, and has also performed in a film written by <e2>;
Actor-11-1.csv;14277;1;who has been to an educational institute which is at a location <e1>, and who has performed in a film which is directed by <e2>;name the actor who has studied at an educational institute located at <e1>, and has also performed in a film directed by <e2>;
Actor-11-4.csv;16609;1;who has been to an educational institute which is at a location <e1>, and who has performed in a film which has location <e2> featured;name the actor who has studied at an educational institute located at <e1>, and who has performed in a film with location <e2> featured in ;
Actor-11-5.csv;21902;1;who has been to an educational institute which is at a location <e1>, and who has also performed in a film which is produced by <e2>;name the actor who has studied at an educational institute located at <e1>, and who has also performed in a film produced by <e2>;
Actor-11-2.csv;36343;1;who has been to an educational institute which is at a location <e1>, and has also performed in a film which is distributed by <e2>;name the actor who has studied at an educational institute located at <e1>, and has also performed in a film where <e2> is a distributor;
Actor-11-8.csv;110078;1;who has been to an educational institute which is at a location <e1>, and has also performed in a film which is of a genre <e2>;name the actor who has studied at an educational institute located at <e1>, and has also performed in a film with genre <e2>;
Film-4-5.csv;12;2;;;
Film-6-4.csv;25;2;;;
Film-1-5.csv;37;2;Film which has a character with ability <e1> and has a distributor who is the founder of the organization named <e2>;name the film that has a character with ability <e1> and also has a distributor who founded the organization named <e2>;
Film-4-7.csv;81;2;;;
Film-6-1.csv;92;2;Film which has a distributor who is on tenure for a company <e1>, and the film has a character with ability <e2>;name the film that has a distributor who is on tenure for a company named <e1> and also has a character with ability <e2>;
Film-3-5.csv;151;2;Film which has a character created by <e1>, and has a distributor who is the founder of the organization named <e2>;name the film that has a character with created by <e1>, and also has a distributor who founded the organization named <e2>;
Film-3-6.csv;158;2;Film which has a character created by <e1>, and has a distributor who is on tenure for a company <e2>;name the film that has a character with created by <e1>, and also has a distributor who is on tenure for a company named <e2>;
Film-1-7.csv;339;2;Film which has a character with ability <e1> and the film has a genre named <e2>;name the film that has a character with ability <e1> and the film also belongs to genre <e2>;
Film-3-7.csv;483;2;Film which has a character created by <e1>, and the film has a genre named <e2>;name the film that has a character with created by <e1>, and the film also belongs to genre <e2>;
Film-6-2.csv;689;2;Film which has a distributor who is on tenure for a company <e1>, and the film has a character played by an actor named <e2>;name the film that has a distributor who is on tenure for a company named <e1> and also has a character played by an actor <e2>;
Film-2-5.csv;765;2;Film which has a character played by an actor <e1> and has a distributor who is the founder of the organization named <e2>;name the film that has a character played by an actor <e1> and also has a distributor who founded the organization named <e2>;
Film-2-7.csv;1611;2;Film which has a character played by an actor <e1> and the film has a genre named <e2>;name the film that has a character played by an actor <e1> and the film also belongs to genre <e2>;
Film-5-7.csv;5385;2;Film that has a distributor who is the founder of the organization named <e1> and the film has a genre named <e2>;name the film that has a distributor who founded the organization named <e1> and the film also belongs to genre <e2>;
Film-6-7.csv;6713;2;;;
Location-12-1.csv;1;3;location which is a vacation choice for an actor who played the character <e1> and which was also a featured location in a film with the character named <e2> ;name the location which is a vacation choice for an actor who has played the character <e1>, and also this location was also a featured location in a film with the character <e2> ;Which location is the vacation choice of an actor, who played the role of <e1>, and this location also featured in a Film that has a character <e2>
Location-12-11.csv;2;3;location which is a vacation choice for an actor who has played the character <e1>, and also where the sports team of the player named <e2> belongs to;name the location which is a vacation choice for an actor who has played the character <e1>, and also is the location for a sports team for which the player <e2> plays;
Location-12-10.csv;4;3;location which is a vacation choice for an actor who has played the character <e1> and also where the education institution for the person <e2> is located;name the location which is a vacation choice for an actor who has played the character <e1> and is also the location where the education institution for the person <e2> is located;
Location-12-6.csv;9;3;location which is a vacation choice for an actor who played the character <e1> and which was also a featured location in a film with the character named <e2> ;name the location which is a vacation choice for an actor who has played the character <e1> and this location was also a featured location in a film with the character named <e2> ;
